IUPAC,     shell.filled,subshell.filled,shell.source,subshell.source,Siegbahn,Siegbahn.short,IUPAC.formatted,Siegbahn.formatted
KL3,       K,K,     L,L3,     Ka1,   Ka, $\mathrm{K}\mathrm{L}_3$,            $\mathrm{K}\alpha_1$
KL1,       K,K,     L,L1,     Ka3,   Ka, $\mathrm{K}\mathrm{L}_1$,            $\mathrm{K}\alpha_3$
KL2,       K,K,     L,L2,     Ka2,   Ka, $\mathrm{K}\mathrm{L}_2$,            $\mathrm{K}\alpha_2$
"KL2,3",   K,K,     L,"L2,3","Ka1,2",Ka,"$\mathrm{K}\mathrm{L}_{2,3}$",      "$\mathrm{K}\alpha_{1,2}$"
KM2,       K,K,     M,M2,     Kb3,   Kb, $\mathrm{K}\mathrm{M}_2$,            $\mathrm{K}\beta_3$
"KM2,3",   K,K,     M,"M2,3","Kb1,3",Kb,"$\mathrm{K}\mathrm{M}_{2,3}$",      "$\mathrm{K}\beta_{1,3}$"
KM3,       K,K,     M,M3,     Kb1,   Kb, $\mathrm{K}\mathrm{M}_3$,            $\mathrm{K}\beta_1$
"KM4,5",   K,K,     M,"M4,5", Kb5,   Kb,"$\mathrm{K}\mathrm{M}_{4,5}$",       $\mathrm{K}\beta_5$
"KN2,3",   K,K,     N,"N2,3", Kb2,   Kb,"$\mathrm{K}\mathrm{N}_{2,3}$",       $\mathrm{K}\beta_2$
"KN4,5",   K,K,     N,"N4,5", Kb4,   Kb,"$\mathrm{K}\mathrm{N}_{4,5}$",       $\mathrm{K}\beta_4$
KO2,       K,K,     O,O2,     Kd2,   Kd, $\mathrm{K}\mathrm{O}_{2}$,          $\mathrm{K}\delta_2$
KO3,       K,K,     O,O3,     Kd1,   Kd, $\mathrm{K}\mathrm{O}_{3}$,          $\mathrm{K}\delta_1$
L1M2,      L,L1,    M,M2,     Lb4,   Lb, $\mathrm{L}_1\mathrm{M}_2$,          $\mathrm{L}\beta_4$
"L1M2,3",  L,L1,    M,"M2,3","Lb3,4",Lb,"$\mathrm{L}_1\mathrm{M}_{2,3}$",    "$\mathrm{K}\beta_{3,4}$"
L1M3,      L,L1,    M,M3,     Lb3,   Lb, $\mathrm{L}_1\mathrm{M}_3$,          $\mathrm{L}\beta_3$
L1M4,      L,L1,    M,M4,     Lb10,  Lb, $\mathrm{L}_1\mathrm{M}_4$,          $\mathrm{L}\beta_{10}$
L1M5,      L,L1,    M,M5,     Lb9,   Lb, $\mathrm{L}_1\mathrm{M}_5$,          $\mathrm{L}\beta_9$
L1N2,      L,L1,    N,N2,     Lg2,   Lg, $\mathrm{L}_1\mathrm{N}_2$,          $\mathrm{L}\gamma_2$
L1N3,      L,L1,    N,N3,     Lg3,   Lg, $\mathrm{L}_1\mathrm{N}_3$,          $\mathrm{L}\gamma_3$
L1N4,      L,L1,    N,N4,,           Lg, $\mathrm{L}_1\mathrm{N}_4$,
L1N5,      L,L1,    N,N5,     Lg11,  Lg, $\mathrm{L}_1\mathrm{N}_5$,          $\mathrm{L}\gamma_{11}$
L1O2,      L,L1,    O,O2,     Lg'4,  Lg, $\mathrm{L}_1\mathrm{O}_2$,          $\mathrm{L}\gamma^\prime_4$
L1O3,      L,L1,    O,O3,     Lg4,   Lg, $\mathrm{L}_1\mathrm{O}_3$,          $\mathrm{L}\gamma_4$
L2M1,      L,L2,    M,M1,     Ln,    Ln, $\mathrm{L}_2\mathrm{M}_1$,          $\mathrm{L}\eta$
L2M3,      L,L2,    M,M3,     Lb17,  Lb, $\mathrm{L}_2\mathrm{M}_3$,          $\mathrm{L}\beta_{17}$
L2M4,      L,L2,    M,M4,     Lb1,   Lb, $\mathrm{L}_2\mathrm{M}_4$,          $\mathrm{L}\beta_1$
L2N1,      L,L2,    N,N1,     Lg5,   Lg, $\mathrm{L}_2\mathrm{N}_1$,          $\mathrm{L}\gamma_5$
L2N4,      L,L2,    N,N4,     Lg1,   Lg, $\mathrm{L}_2\mathrm{N}_4$,          $\mathrm{L}\gamma_1$
"L2N6,7",  L,L2,    N,"N6,7", Lv,    Lv,"$\mathrm{L}_2\mathrm{N}_{6,7}$",     $\mathrm{L}\nu$
L2O1,      L,L2,    O,O1,     Lg8,   Lg, $\mathrm{L}_2\mathrm{O}_1$,          $\mathrm{L}\gamma_8$
L2O4,      L,L2,    O,O4,     Lg6,   Lg, $\mathrm{L}_2\mathrm{O}_4$,          $\mathrm{L}\gamma_6$
L3M1,      L,L3,    M,M1,     Ll,    Ll, $\mathrm{L}_3\mathrm{M}_1$,          $\mathrm{L}\ell$
L3M2,      L,L3,    M,M2,     Lt,    Lt, $\mathrm{L}_3\mathrm{M}_2$,          $\mathrm{L}t$
