"","Z","element","transition","transition.keV","intensity","width.eV","edge","edge.keV","fluorescence.yield","shell.filled","subshell.filled","shell.source","subshell.source","Siegbahn","Siegbahn.short","IUPAC.formatted","Siegbahn.formatted","uid"
"1",4,"Be","KL2,3",0.109,NA,NA,"",NA,NA,"K","K","L","L2,3","Ka1,2","Ka","$\mathrm{K}\mathrm{L}_{2,3}$","$\mathrm{K}\alpha_{1,2}$","4-Be-KL2,3"
"2",5,"B","KL2,3",0.183,NA,NA,"",NA,NA,"K","K","L","L2,3","Ka1,2","Ka","$\mathrm{K}\mathrm{L}_{2,3}$","$\mathrm{K}\alpha_{1,2}$","5-B-KL2,3"
"3",5,"B","",NA,NA,NA,"K",NA,0.0017,"","","","","","","$\mathrm{K}$","","5-B-K"
"4",6,"C","KL2,3",0.277,NA,NA,"",NA,NA,"K","K","L","L2,3","Ka1,2","Ka","$\mathrm{K}\mathrm{L}_{2,3}$","$\mathrm{K}\alpha_{1,2}$","6-C-KL2,3"
"5",6,"C","",NA,NA,NA,"K",NA,0.0028,"","","","","","","$\mathrm{K}$","","6-C-K"
"6",7,"N","KL2,3",0.393,NA,NA,"",NA,NA,"K","K","L","L2,3","Ka1,2","Ka","$\mathrm{K}\mathrm{L}_{2,3}$","$\mathrm{K}\alpha_{1,2}$","7-N-KL2,3"
"7",7,"N","",NA,NA,NA,"K",NA,0.0052,"","","","","","","$\mathrm{K}$","","7-N-K"
"8",8,"O","KL2,3",0.525,NA,NA,"",NA,NA,"K","K","L","L2,3","Ka1,2","Ka","$\mathrm{K}\mathrm{L}_{2,3}$","$\mathrm{K}\alpha_{1,2}$","8-O-KL2,3"
"9",8,"O","",NA,NA,NA,"K",NA,0.0083,"","","","","","","$\mathrm{K}$","","8-O-K"
"10",9,"F","KL2,3",0.677,NA,NA,"",NA,NA,"K","K","L","L2,3","Ka1,2","Ka","$\mathrm{K}\mathrm{L}_{2,3}$","$\mathrm{K}\alpha_{1,2}$","9-F-KL2,3"
"11",9,"F","",NA,NA,NA,"K",NA,0.013,"","","","","","","$\mathrm{K}$","","9-F-K"
"12",10,"Ne","KM2,3",0.858,NA,NA,"",NA,NA,"K","K","M","M2,3","Kb1,3","Kb","$\mathrm{K}\mathrm{M}_{2,3}$","$\mathrm{K}\beta_{1,3}$","10-Ne-KM2,3"
"13",10,"Ne","KL2,3",0.848,NA,0.24,"",NA,NA,"K","K","L","L2,3","Ka1,2","Ka","$\mathrm{K}\mathrm{L}_{2,3}$","$\mathrm{K}\alpha_{1,2}$","10-Ne-KL2,3"
"14",10,"Ne","",NA,NA,NA,"K",NA,0.018,"","","","","","","$\mathrm{K}$","","10-Ne-K"
"15",11,"Na","KM3",1.067,1.2,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","11-Na-KM3"
"16",11,"Na","KL3",1.04,100,0.3,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","11-Na-KL3"
"17",11,"Na","KL2",1.04,49,0.3,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","11-Na-KL2"
"18",11,"Na","",NA,NA,NA,"K",1.071,0.023,"","","","","","","$\mathrm{K}$","","11-Na-K"
"19",11,"Na","",NA,NA,NA,"L1",0.064,NA,"","","","","","","$\mathrm{L}_1$","","11-Na-L1"
"20",11,"Na","",NA,NA,NA,"L2",0.03,NA,"","","","","","","$\mathrm{L}_2$","","11-Na-L2"
"21",11,"Na","",NA,NA,NA,"L3",0.031,NA,"","","","","","","$\mathrm{L}_3$","","11-Na-L3"
"22",12,"Mg","KM3",1.302,2,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","12-Mg-KM3"
"23",12,"Mg","KL3",1.254,100,0.36,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","12-Mg-KL3"
"24",12,"Mg","KL2",1.253,49.2,0.36,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","12-Mg-KL2"
"25",12,"Mg","",NA,NA,NA,"K",1.303,0.03,"","","","","","","$\mathrm{K}$","","12-Mg-K"
"26",12,"Mg","",NA,NA,NA,"L1",0.089,2.9e-05,"","","","","","","$\mathrm{L}_1$","","12-Mg-L1"
"27",12,"Mg","",NA,NA,NA,"L2",0.05,0.0012,"","","","","","","$\mathrm{L}_2$","","12-Mg-L2"
"28",12,"Mg","",NA,NA,NA,"L3",0.049,0.0012,"","","","","","","$\mathrm{L}_3$","","12-Mg-L3"
"29",12,"Mg","",NA,NA,NA,"M1",0.002,NA,"","","","","","","$\mathrm{M}_1$","","12-Mg-M1"
"30",12,"Mg","",NA,NA,NA,"M2",0.001,NA,"","","","","","","$\mathrm{M}_2$","","12-Mg-M2"
"31",12,"Mg","",NA,NA,NA,"M3",0.001,NA,"","","","","","","$\mathrm{M}_3$","","12-Mg-M3"
"32",13,"Al","KM3",1.557,2.9,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","13-Al-KM3"
"33",13,"Al","KL3",1.487,100,0.43,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","13-Al-KL3"
"34",13,"Al","KL2",1.486,49.3,0.43,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","13-Al-KL2"
"35",13,"Al","",NA,NA,NA,"K",1.559,0.039,"","","","","","","$\mathrm{K}$","","13-Al-K"
"36",13,"Al","",NA,NA,NA,"L1",0.118,2.6e-05,"","","","","","","$\mathrm{L}_1$","","13-Al-L1"
"37",13,"Al","",NA,NA,NA,"L2",0.073,0.00075,"","","","","","","$\mathrm{L}_2$","","13-Al-L2"
"38",13,"Al","",NA,NA,NA,"L3",0.073,0.00075,"","","","","","","$\mathrm{L}_3$","","13-Al-L3"
"39",13,"Al","",NA,NA,NA,"M1",0.004,NA,"","","","","","","$\mathrm{M}_1$","","13-Al-M1"
"40",13,"Al","",NA,NA,NA,"M2",0.002,NA,"","","","","","","$\mathrm{M}_2$","","13-Al-M2"
"41",13,"Al","",NA,NA,NA,"M3",0.002,NA,"","","","","","","$\mathrm{M}_3$","","13-Al-M3"
"42",14,"Si","KM3",1.837,4,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","14-Si-KM3"
"43",14,"Si","KL3",1.74,100,0.49,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","14-Si-KL3"
"44",14,"Si","KL2",1.739,49.5,0.49,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","14-Si-KL2"
"45",14,"Si","",NA,NA,NA,"K",1.839,0.05,"","","","","","","$\mathrm{K}$","","14-Si-K"
"46",14,"Si","",NA,NA,NA,"L1",0.15,3e-05,"","","","","","","$\mathrm{L}_1$","","14-Si-L1"
"47",14,"Si","",NA,NA,NA,"L2",0.1,0.00037,"","","","","","","$\mathrm{L}_2$","","14-Si-L2"
"48",14,"Si","",NA,NA,NA,"L3",0.099,0.00038,"","","","","","","$\mathrm{L}_3$","","14-Si-L3"
"49",14,"Si","",NA,NA,NA,"M1",0.008,NA,"","","","","","","$\mathrm{M}_1$","","14-Si-M1"
"50",14,"Si","",NA,NA,NA,"M2",0.002,NA,"","","","","","","$\mathrm{M}_2$","","14-Si-M2"
"51",14,"Si","",NA,NA,NA,"M3",0.002,NA,"","","","","","","$\mathrm{M}_3$","","14-Si-M3"
"52",15,"P","KM3",2.14,6.4,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","15-P-KM3"
"53",15,"P","KL3",2.011,100,0.57,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","15-P-KL3"
"54",15,"P","KL2",2.01,49.6,0.56,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","15-P-KL2"
